Price,Date
57.493416666666654,2011-01-20 00:00:00
55.861124999999994,2011-01-21 00:00:00
50.799416666666644,2011-01-22 00:00:00
51.4005,2011-01-23 00:00:00
56.84329166666666,2011-01-24 00:00:00
54.250458333333334,2011-01-25 00:00:00
59.28562499999999,2011-01-26 00:00:00
57.77579166666667,2011-01-27 00:00:00
58.03245833333333,2011-01-28 00:00:00
52.98491666666667,2011-01-29 00:00:00
46.53516666666666,2011-01-30 00:00:00
55.47408333333333,2011-01-31 00:00:00
59.35920833333332,2011-02-01 00:00:00
54.17091666666667,2011-02-02 00:00:00
51.30658333333334,2011-02-03 00:00:00
46.423375,2011-02-04 00:00:00
36.95579166666667,2011-02-05 00:00:00
33.81579166666667,2011-02-06 00:00:00
43.915375000000004,2011-02-07 00:00:00
49.73858333333334,2011-02-08 00:00:00
